,Vendor Code,Vendor Name,Address
0,54358,D&R OFFICE WORKS INC,"9956  BALDWIN PL., EL MONTE, CA, 91731"
1,201591,"PRIMESTOR DEVELOPMENT, LLC","9950  JEFFERSON BLVD , CULVER CITY, CA, 90232"
2,181262,"SYBMAN, INC","9911  GIDLEY STREET, EL MONTE, CA, 91731"
3,189244,CS INC,"9900  BELL RANCH DR , SANTA FE SPRINGS, CA, 90670"
4,204063,STC INTERPRETING INC.,"9854  NATIONAL BLVD , LOS ANGELES, CA, 90034"
5,191381,NEXT LEVEL HVAC ENERGY MANAGEMENT SYSTEMS,"9834  NORWALK BLVD, SANTA FE SPRINGS, CA, 90670"
6,125356,SOURCEONE OFFICE PRODUCTS INC,"9812  ALBURTIS AVE, SANTA FE SPGS, CA, 90670"
7,184191,KOREAN AMERICAN FEDERATION OF LOS ANGELES,"981  S WESTERN AVE, LOS ANGELES, CA, 90006"
8,183355,LUIS GOMEZ,"9760  JERSEY AVE , SANTA FE SPGS, CA, 90670"
9,173664,SIMPLY KLEEN USA INC,"9734  VARIEL AVE, CHATSWORTH, CA, 91311"
10,175156,ASAP AUTO PARTS,"9714  ARTESIA BLVD, BELLFLOWER, CA, 90706"
11,165523,"B.I.G. ENTERPRISES, INC.","9702  E. RUSH STREET, S. EL MONTE, CA, 91733"
12,155573,AIM CONSULTING SERVICES,"970  S VILLAGE OAKS DRIVE , COVINA, CA, 91724"
13,155573,AIM CONSULTING SERVICES,"970  S VILLAGE OAKS DR , COVINA, CA, 91724"
14,155573,AIM CONSULTING SERVICES,"970  S VILLAGE OAKS DR , COVINA, CA, 91724"
15,141211,"CRIME SCENE STERI-CLEAN, LLC","9624  HERMOSA AVE, RCH CUCAMONGA, CA, 91730"
16,169936,"SOTERIA HOME HEALTH AGENCY, INC","959  N. LA BREA AVENUE, INGLEWOOD, CA, 90302"
17,170101,KEVIN S ANDERSON,"9530  ARTESIA BLVD , BELLFLOWER, CA, 90706"
18,120465,"ECOLINE INDUSTRIAL SUPPLY, INC","9520  OWENSMOUTH AVE , CHATSWORTH, CA, 91311"
19,206005,C323 INC,"9519  VAN NUYS BLVD, PANORAMA CITY, CA, 91402"
20,103355,YWCA OF SAN GABRIEL VALLEY,"943  NORTH GRAND AVENUE, COVINA, CA, 91724"
21,198172,US ELECTRIC MOTORS SALES,"9420  , DOWNEY, CA, 90241"
22,39727,CHEM PRO LABORATORY INC,"941  W. 190TH ST., GARDENA, CA, 90248"
23,175306,"CLARITI EYEWEAR, INC.","940  AJAX AVE., CITY OF INDUSTRY, CA, 91748"
24,165497,"MW LOYD, INC.","9363  HANNA AVE., CHATSWORTH, CA, 91311"
25,175395,NATHAN A CLEAVER,"9362  PARKSTONE CIRCLE, ROSEVILLE, CA, 95747"
26,204937,NATHAN CLEAVER,"9362  PARKSTONE CIR, ROSEVILLE, CA, 95747"
27,174216,INTEGRATED IMAGE INC,"9301  OAKDALE AVE , CHATSWORTH, CA, 91311"
28,114811,PPC CONSTRUCTION INC,"930  COLORADO BLVD., , LOS ANGELES, CA, 90041"
29,204723,AZARLY LLC,"930  CALIFORNIA AVE , SANTA MONICA, CA, 90403"
30,142457,DEVON DORSEY,"926  N WILMINGTON BL , WILMINGTON, CA, 90744"
31,189782,FEDERAL ONE SUPPLIES LLC,"9253  1/2 CEDROS AVE, PANORAMA CITY, CA, 91402"
32,189782,FEDERAL ONE SUPPLIES LLC,"9253  1/2 CEDROS AVE, PANORAMA CITY, CA, 91402"
33,520500,ADVANCED BATTERY SYSTEMS,"925  W HYDE PARK BLVD, INGLEWOOD, CA, 90302"
34,62833,MIRON ELECTRIC CONSTR CORP,"9238  DEERING AVE, CHATSWORTH, CA, 91311"
35,199939,PRECISION FORKLIFT SERVICE AND PARTS LLC,"9226  LAUREL AVE, WHITTIER, CA, 90605"
36,35048,DAN MCCOMB,"922  WEST HYDE PARK BLVD, INGLEWOOD, CA, 90302"
37,155062,UNITED GARAGE DOORS & GATES,"9213  WILLIS AVE., PANORAMA CITY, CA, 91402"
38,185258,SECURITY OPERATIONS GROUP INTERNATIONAL LLC,"921  N. HARBOR BLVD, LA HABRA, CA, 90631"
39,60044,MICHAEL E. POWERS & ASSOCIATES,"918  W FOOTHILL BLVD, AZUSA, CA, 91702"
40,203713,GEORGE RIZKALLA,"9171  WILSHIRE BLVD , BEVERLY HILLS, CA, 90210"
41,149653,TRAINING CONNECTION LLC,"915  WILSHIRE BLVD , LOS ANGELES, CA, 90017"
42,177589,"WENMAR, INC.","9132  JORDAN AVE, CHATSWORTH, CA, 91311"
43,165560,LORENA O CARMACK,"9130  EGLISE AVE, DOWNEY, CA, 90240"
44,517390,SUPERIOR PROPERTY SERVICES INC,"9129  PERKINS STREET, PICO RIVERA, CA, 90660"
45,186443,BE SOCIAL PRODUCTIONS,"9100  WILSHIRE BLVD, BEVERLY HILLS, CA, 90212"
46,210380,PROLIFIC STYLES LLC,"9100  S SEPULVEDA BLVD, LOS ANGELES, CA, 90045"
47,175228,"BUSINESS U, INC.","907  WESTWOOD BLVD, LOS ANGELES, CA, 90024"
48,501216,"SPECIAL SERVICE FOR GROUPS, INC.","905  E. 8TH STREET, LOS ANGELES, CA, 90021"
49,501216,"SPECIAL SERVICE FOR GROUPS, INC.","905  E. 8TH ST, LOS ANGELES, CA, 90021"
50,501216,"SPECIAL SERVICE FOR GROUPS, INC.","905  E 8TH STREET, LOS ANGELES, CA, 90021"
51,156649,AAPI EQUITY ALLIANCE,"905  E 8TH ST, LOS ANGELES, CA, 90021"
52,501216,"SPECIAL SERVICE FOR GROUPS, INC.","905  E 8TH ST, LOS ANGELES, CA, 90021"
53,501216,"SPECIAL SERVICE FOR GROUPS, INC.","905  E 8TH ST, LOS ANGELES, CA, 90021"
54,193817,JLE PAINTING,"904  E MOUNTAIN VIEW TER, ALHAMBRA, CA, 91801"
55,208927,TOURBILLON ENTERPRISES LLC,"9038  GARVEY AVENUE, ROSEMEAD, CA, 91770"
56,208927,TOURBILLON ENTERPRISES LLC,"9038  GARVEY AVE, ROSEMEAD, CA, 91770"
57,37388,"FERBAK, INC.","9030  BALBOA BLVD, NORTHRIDGE, CA, 91325"
58,159004,LOGIXSERVICE INC,"903  CALLE AMANECER , SAN CLEMENTE, CA, 92673"
59,159004,LOGIXSERVICE INC,"903  CALLE AMANACER , SAN CLEMENTE, CA, 92673"
60,205655,"INNOVATIVE WORKPLACE SOLUTIONS, LLC","8943  COLLETT AVE, NORTH HILLS, CA, 91343"
61,118932,APPLIED ENGINEERING CONCEPTS,"894  N FAIR OAKS AVE, PASADENA, CA, 91103"
62,46786,"PATTEN ENERGY ENTERPRISES, INC","8939  S SEPULVEDA BLVD , LOS ANGELES, CA, 90045"
